geoid,cong_dist_id
360810991005012,3
360810991005013,3
360810991005014,3
360810991005015,3
360810991005016,3
360810997011000,3
360810997011001,3
360810997011002,3
360810997011003,3
360810997011004,3
360810997011005,3
360810997011006,3
360810997011007,3
360810997011008,3
360810997011009,3
360810997011010,3
360810997011011,3
360810997011012,3
360810997011013,3
360810997011014,3
360810997011015,3
360810997012000,3
360810997012001,3
360810997012002,3
360810997012003,3
360810997012004,3
360810997012005,3
360810997012006,3
360810997012007,3
360810997012008,3
360810997012009,3
360810997012010,3
360810997012011,3
360810997013000,3
360810997013001,3
360810997013002,3
360810997013003,3
360810997013004,3
360810997013005,3
360810997031000,3
360810997031001,3
360810997031002,3
360810997031003,3
360810997031004,3
360810997031005,3
360810997031006,3
360810997031007,3
360810997031008,3
360810997031009,3
360810997031010,3
360810997031011,3
360810997031012,3
360810997032000,3
360810997032001,3
360810997032002,3
360810997033000,3
360810997033001,3
360810997033002,3
360810997033003,3
360810997033004,3
360810997033005,3
360810997033006,3
360810997033007,3
360810997033008,3
360810997033009,3
360810997033010,3
360810997041000,3
360810997041001,3
360810997041002,3
360810997042000,3
360810997042001,3
360810997043000,3
360810997043001,3
360810997043002,3
360810997044000,3
360810997044001,3
360810997050001,3
360810997051000,3
360810997051001,3
360810997051003,3
360810997051004,3
360810997051005,3
360810997051006,3
360810997051007,3
360810997051008,3
360810997051009,3
360810997051010,3
360810997051011,3
360810997051012,3
360810997051013,3
360810997051014,3
360810997051015,3
360810997051016,3
360810997051017,3
360810997051018,3
360810997051019,3
360810997051020,3
360810997051021,3
360810997051022,3
360810997051023,3
360810997051024,3
360810997051025,3
360810997051026,3
360810999001000,3
360810999001001,3
360810999001002,3
360810999001003,3
360810999001004,3
360810999001005,3
360810999001006,3
360810999001007,3
360810999001008,3
360810999001009,3
360810999001010,3
360810999001011,3
360810999001012,3
360810999001013,3
360810999001014,3
360810999001015,3
360810999001016,3
360810999001017,3
360810999001018,3
360810999001019,3
360810999001020,3
360810999001021,3
360810999001022,3
360810999001023,3
360810999001024,3
360810999001025,3
360810999001026,3
360810999001027,3
360810999001028,3
360810999001029,3
360810999001030,3
360810999001031,3
360810999001032,3
360810999001033,3
360810999001034,3
360810999001035,3
360810999001036,3
360811017001000,3
360811017001001,3
360811017001002,3
360811017001003,3
360811017001004,3
360811017001005,3
360811017001006,3
360811017001007,3
360811017001008,3
360811017001009,3
360811017001010,3
360811017002000,3
360811017002001,3
360811017002002,3
360811017002003,3
360811017002004,3
360811017002005,3
360811017002006,3
360811017002007,3
360811017003000,3
360811017003001,3
360811017003002,3
360811017003003,3
360811017003004,3
360811017003005,3
360811017003006,3
360811017003007,3
360811017003008,3
360811017003009,3
360811017003010,3
360811017003011,3
360811017003012,3
